Customer_Key,Total_Number_of_Calls,AHT,Contract_End_Date,Call_Date,Product_Type,Product_Status,Customer_Type
105,2,103.9174356,27/12/2021,08/09/2021,Product 4,Status 2,Type 3
106,1,522.7123921,25/05/2026,07/10/2021,Product 3,Status 2,Type 2
107,1,528.9169315,17/11/2026,15/12/2020,Product 3,Status 1,Type 2
108,1,646.7326055,15/11/2025,09/06/2021,Product 2,Status 4,Type 2
109,1,486.9519794,15/04/2025,17/07/2021,Product 1,Status 2,Type 2
110,1,489.3597515,18/08/2026,28/10/2020,Product 2,Status 4,Type 2
111,2,464.6807591,10/04/2026,08/06/2021,Product 3,Status 1,Type 2
112,1,278.3599321,25/11/2020,29/11/2020,Product 1,Status 1,Type 1
113,1,284.3171634,03/03/2020,09/03/2020,Product 2,Status 1,Type 1
114,1,373.2114479,23/08/2026,29/03/2020,Product 2,Status 4,Type 2
115,1,430.7741178,02/03/2020,02/03/2020,Product 2,Status 2,Type 1
116,1,467.6728693,30/08/2026,08/12/2021,Product 2,Status 4,Type 2
117,2,302.8472827,12/07/2020,11/07/2020,Product 2,Status 2,Type 1
118,2,458.3468688,08/07/2020,10/07/2020,Product 1,Status 4,Type 1
119,1,280.6655096,01/05/2021,02/05/2021,Product 2,Status 3,Type 1
120,2,372.2157428,19/07/2021,18/07/2021,Product 2,Status 1,Type 1
121,1,500.8240566,14/03/2026,14/11/2021,Product 3,Status 1,Type 2
122,1,454.3229399,02/12/2020,03/12/2020,Product 2,Status 2,Type 1
123,1,271.8452237,06/11/2021,13/11/2021,Product 2,Status 3,Type 1
124,3,533.965568,18/10/2020,21/10/2020,Product 1,Status 3,Type 1
125,2,145.5944182,08/06/2020,08/06/2020,Product 2,Status 4,Type 1
126,1,290.7328345,18/06/2020,18/06/2020,Product 2,Status 1,Type 1
127,4,273.0580967,13/03/2020,14/03/2020,Product 2,Status 1,Type 1
128,1,95.30927808,14/03/2022,25/12/2021,Product 4,Status 1,Type 3
129,1,396.3496468,22/08/2020,22/08/2020,Product 2,Status 3,Type 1
130,1,98.19487218,12/04/2022,20/01/2022,Product 4,Status 1,Type 3
131,1,539.9164961,12/09/2025,20/02/2020,Product 3,Status 2,Type 2
132,4,291.7206894,02/08/2020,03/08/2020,Product 2,Status 3,Type 1
133,2,370.2068895,25/11/2020,04/12/2020,Product 1,Status 3,Type 1
134,1,162.5212565,08/10/2020,11/10/2020,Product 2,Status 4,Type 1
135,1,345.1851109,23/03/2020,27/03/2020,Product 2,Status 2,Type 1
136,1,147.4458541,12/12/2021,20/08/2021,Product 4,Status 3,Type 3
137,1,372.9214735,17/04/2020,21/04/2020,Product 2,Status 4,Type 1
138,1,513.9266639,09/05/2026,06/04/2021,Product 1,Status 4,Type 2
139,3,509.9276198,08/08/2026,08/09/2021,Product 3,Status 3,Type 2
140,4,101.1247035,26/01/2022,28/01/2022,Product 1,Status 3,Type 1
141,1,504.7380963,07/09/2020,10/09/2020,Product 2,Status 1,Type 1
142,1,176.6287115,22/12/2021,18/10/2021,Product 4,Status 1,Type 3
143,1,397.7885703,14/06/2021,16/06/2021,Product 2,Status 2,Type 1
144,1,319.9058133,31/10/2020,06/11/2020,Product 1,Status 1,Type 1
145,2,333.3531641,11/08/2020,14/08/2020,Product 2,Status 3,Type 1
146,3,365.855751,20/07/2021,21/07/2021,Product 1,Status 1,Type 1
147,1,340.2497269,12/11/2021,14/11/2021,Product 2,Status 2,Type 1
148,1,519.6761894,10/10/2026,18/03/2020,Product 3,Status 1,Type 2
149,1,516.3400929,09/11/2020,06/11/2020,Product 1,Status 2,Type 1
150,1,330.7298042,05/04/2020,08/04/2020,Product 2,Status 3,Type 1
151,1,414.6545832,16/03/2021,18/03/2021,Product 1,Status 3,Type 1
152,3,668.549429,05/02/2025,17/08/2021,Product 1,Status 1,Type 2
153,2,306.0959118,04/05/2020,05/05/2020,Product 2,Status 1,Type 1
154,1,596.6628925,04/07/2020,06/07/2020,Product 2,Status 1,Type 1
155,1,458.6029071,06/12/2020,11/12/2020,Product 2,Status 2,Type 1
156,1,399.9709301,15/04/2021,20/04/2021,Product 1,Status 3,Type 1
157,1,205.7994744,18/11/2020,21/11/2020,Product 2,Status 3,Type 1
158,2,430.486723,27/06/2026,01/05/2021,Product 2,Status 4,Type 2
159,1,397.6023569,30/01/2022,01/02/2022,Product 1,Status 1,Type 1
160,1,281.994929,11/05/2020,17/05/2020,Product 2,Status 2,Type 1
161,1,98.5859403,15/04/2022,28/12/2021,Product 4,Status 2,Type 3
162,1,315.795702,20/05/2020,22/05/2020,Product 1,Status 1,Type 1
163,1,59.48332471,22/02/2022,06/12/2021,Product 2,Status 1,Type 3
164,1,470.1604099,22/12/2021,23/12/2021,Product 1,Status 4,Type 1
165,1,195.2279585,22/04/2021,26/04/2021,Product 2,Status 1,Type 1
166,1,553.3243627,15/01/2020,18/01/2020,Product 2,Status 4,Type 1
167,1,68.58285178,12/02/2020,13/02/2020,Product 2,Status 3,Type 1
168,1,567.6121991,08/08/2025,20/10/2021,Product 3,Status 2,Type 2
169,1,135.286949,11/03/2022,20/12/2021,Product 4,Status 1,Type 3
170,2,474.2868445,02/03/2020,11/03/2020,Product 2,Status 4,Type 1
171,1,122.8771538,17/09/2020,23/09/2020,Product 2,Status 3,Type 1
172,2,300.8055876,11/11/2020,14/11/2020,Product 1,Status 3,Type 1
173,3,288.8430354,06/02/2020,08/02/2020,Product 2,Status 4,Type 1
174,2,220.3134251,27/02/2021,01/03/2021,Product 1,Status 3,Type 1
175,2,481.0302692,27/07/2020,03/08/2020,Product 2,Status 4,Type 1
176,1,124.9423995,18/09/2020,16/09/2020,Product 2,Status 1,Type 1
177,1,391.1996939,08/05/2020,11/05/2020,Product 1,Status 1,Type 1
178,3,480.5342059,24/12/2020,26/12/2020,Product 2,Status 1,Type 1
179,1,449.3330316,06/07/2026,28/02/2020,Product 3,Status 2,Type 2
180,1,468.2217553,19/12/2026,02/10/2020,Product 3,Status 1,Type 2
181,2,511.9576285,02/01/2025,24/03/2020,Product 3,Status 1,Type 2
182,1,437.0340142,16/03/2026,29/10/2020,Product 3,Status 3,Type 2
183,1,282.6331049,02/03/2021,04/03/2021,Product 1,Status 2,Type 1
184,1,648.2183065,17/04/2020,18/04/2020,Product 1,Status 1,Type 1
185,2,308.5608605,08/05/2021,10/05/2021,Product 1,Status 1,Type 1
186,1,427.5573006,20/09/2020,24/09/2020,Product 1,Status 3,Type 1
187,2,627.253436,11/12/2025,04/02/2021,Product 2,Status 3,Type 2
188,1,375.8010196,14/10/2021,17/10/2021,Product 1,Status 2,Type 1
189,1,253.9475648,07/06/2021,10/06/2021,Product 1,Status 2,Type 1
190,1,449.7429781,03/09/2025,10/12/2021,Product 3,Status 4,Type 2
191,1,583.1295417,11/10/2026,21/09/2020,Product 2,Status 4,Type 2
192,1,245.6656369,25/09/2021,01/10/2021,Product 2,Status 4,Type 1
193,1,442.3346531,18/03/2025,06/05/2021,Product 3,Status 4,Type 2
194,4,116.8595595,28/09/2020,05/10/2020,Product 2,Status 1,Type 1
195,3,391.915193,16/03/2020,18/03/2020,Product 2,Status 1,Type 1
196,1,207.6327333,16/01/2021,20/01/2021,Product 2,Status 2,Type 1
197,1,470.9754448,29/04/2026,26/04/2020,Product 3,Status 1,Type 2
198,1,333.5574374,18/11/2021,21/11/2021,Product 1,Status 1,Type 1
199,1,395.7645437,27/11/2026,20/06/2021,Product 3,Status 1,Type 2
200,1,91.30346638,21/03/2022,16/01/2022,Product 4,Status 3,Type 3
201,1,450.3394651,24/08/2020,29/08/2020,Product 2,Status 1,Type 1
202,2,512.732661,04/11/2021,08/11/2021,Product 2,Status 2,Type 1
203,1,134.5418335,07/01/2022,03/11/2021,Product 4,Status 3,Type 3
204,1,98.11184357,02/05/2020,01/05/2020,Product 1,Status 4,Type 1
205,2,379.5834964,25/03/2021,27/03/2021,Product 1,Status 4,Type 1
206,2,484.6570732,09/12/2026,20/10/2020,Product 3,Status 1,Type 2
207,1,113.438309,28/03/2022,23/12/2021,Product 4,Status 4,Type 3
208,1,312.5474747,31/07/2020,03/08/2020,Product 2,Status 2,Type 1
209,1,304.7976187,07/01/2020,13/01/2020,Product 1,Status 4,Type 1
210,1,332.8002744,17/10/2026,06/09/2021,Product 1,Status 2,Type 2
211,1,468.8170494,05/04/2020,06/04/2020,Product 2,Status 3,Type 1
212,3,440.3728701,14/05/2025,13/05/2020,Product 3,Status 4,Type 2
213,1,650.2396803,16/01/2022,16/01/2022,Product 2,Status 2,Type 1
214,1,276.1772578,06/04/2020,08/04/2020,Product 2,Status 1,Type 1
215,1,443.0349689,27/12/2026,08/03/2021,Product 3,Status 3,Type 2
216,3,392.7140409,15/06/2020,19/06/2020,Product 2,Status 2,Type 1
217,1,124.7440577,23/10/2021,03/07/2021,Product 4,Status 3,Type 3
218,2,360.9639094,22/02/2021,26/02/2021,Product 2,Status 1,Type 1
219,1,405.9452957,15/06/2020,16/06/2020,Product 1,Status 4,Type 1
220,2,344.5541727,07/01/2022,08/01/2022,Product 1,Status 3,Type 1
221,1,302.9976529,19/01/2022,18/01/2022,Product 2,Status 1,Type 1
222,1,490.2693043,02/03/2026,27/12/2021,Product 3,Status 3,Type 2
223,1,384.0392156,13/05/2021,15/05/2021,Product 1,Status 4,Type 1
224,1,527.8617014,23/09/2020,23/09/2020,Product 2,Status 1,Type 1
225,1,361.2112518,05/12/2021,06/12/2021,Product 2,Status 4,Type 1
226,1,201.9579935,04/08/2021,05/08/2021,Product 1,Status 1,Type 1
227,2,480.1747969,18/11/2020,20/11/2020,Product 2,Status 1,Type 1
228,2,496.0246703,28/01/2026,04/07/2020,Product 3,Status 1,Type 2
229,1,176.6183406,23/07/2021,28/07/2021,Product 1,Status 3,Type 1
230,1,423.0575003,15/11/2025,15/11/2021,Product 2,Status 4,Type 2
231,1,357.2819306,31/12/2020,03/01/2021,Product 1,Status 1,Type 1
232,2,149.2462084,13/12/2021,14/12/2021,Product 1,Status 1,Type 1
233,1,571.986156,16/01/2026,04/07/2020,Product 2,Status 1,Type 2
234,1,611.4580091,25/11/2021,29/11/2021,Product 2,Status 1,Type 1
235,2,289.875428,21/11/2020,26/11/2020,Product 1,Status 3,Type 1
236,1,478.2707368,16/01/2025,03/01/2021,Product 3,Status 3,Type 2
237,1,500.1213274,21/04/2026,21/10/2021,Product 2,Status 2,Type 2
238,1,295.8869689,07/07/2021,09/07/2021,Product 1,Status 4,Type 1
239,3,497.051213,23/10/2025,26/06/2020,Product 1,Status 4,Type 2
240,1,387.0069802,16/07/2021,20/07/2021,Product 1,Status 3,Type 1
241,1,429.087018,23/10/2026,06/06/2021,Product 2,Status 3,Type 2
242,1,576.8199404,14/08/2020,15/08/2020,Product 2,Status 3,Type 1
243,1,126.5040058,22/02/2022,19/12/2021,Product 4,Status 2,Type 3
244,1,258.5191409,01/06/2020,02/06/2020,Product 2,Status 2,Type 1
245,1,688.9981188,09/07/2020,12/07/2020,Product 2,Status 2,Type 1
246,1,546.8115107,19/02/2021,21/02/2021,Product 1,Status 4,Type 1
247,2,598.8542804,19/01/2025,27/02/2021,Product 3,Status 4,Type 2
248,1,477.9476658,08/04/2020,07/04/2020,Product 2,Status 1,Type 1
249,2,608.0161857,27/06/2021,30/06/2021,Product 1,Status 3,Type 1
250,1,477.1858501,04/04/2020,08/04/2020,Product 1,Status 1,Type 1
251,2,364.7406149,04/01/2020,08/01/2020,Product 2,Status 3,Type 1
252,1,526.5476768,30/01/2026,13/04/2021,Product 2,Status 4,Type 2
253,1,171.8466943,23/08/2021,21/08/2021,Product 2,Status 2,Type 1
254,2,13.22985086,10/01/2022,13/01/2022,Product 2,Status 1,Type 1
255,1,539.7696471,08/10/2021,10/10/2021,Product 1,Status 4,Type 1
256,1,199.7981982,16/05/2021,17/05/2021,Product 1,Status 3,Type 1
257,4,495.2923937,31/01/2022,31/01/2022,Product 2,Status 3,Type 1
258,1,371.2659807,10/06/2020,10/06/2020,Product 1,Status 2,Type 1
259,1,241.9972882,03/01/2021,07/01/2021,Product 2,Status 4,Type 1
260,4,558.4793789,09/04/2021,12/04/2021,Product 2,Status 3,Type 1
261,1,425.1644764,04/01/2020,08/01/2020,Product 2,Status 1,Type 1
262,1,498.4663137,17/02/2021,20/02/2021,Product 1,Status 4,Type 1
263,2,97.06311674,29/06/2021,02/07/2021,Product 2,Status 4,Type 1
264,2,588.5005479,25/02/2026,27/06/2021,Product 3,Status 1,Type 2
265,5,124.105649,14/07/2021,20/07/2021,Product 2,Status 3,Type 1
266,1,578.810121,13/10/2025,17/06/2020,Product 2,Status 2,Type 2
267,1,366.1122978,23/07/2026,16/03/2020,Product 1,Status 1,Type 2
268,2,418.8004603,12/11/2020,15/11/2020,Product 2,Status 3,Type 1
269,2,593.5771181,13/05/2020,13/05/2020,Product 2,Status 3,Type 1
270,1,332.3052062,10/09/2021,11/09/2021,Product 1,Status 1,Type 1
271,1,410.677688,05/05/2026,05/04/2020,Product 3,Status 1,Type 2
272,2,400.0239069,12/06/2026,28/07/2020,Product 1,Status 3,Type 2
273,1,331.0666751,06/07/2021,08/07/2021,Product 2,Status 1,Type 1
274,1,525.5942821,06/05/2026,05/03/2020,Product 3,Status 2,Type 2
275,1,315.0667041,06/09/2020,05/09/2020,Product 1,Status 3,Type 1
276,1,300.6491784,18/06/2020,19/06/2020,Product 1,Status 1,Type 1
277,1,448.5893786,18/05/2025,15/01/2021,Product 1,Status 2,Type 2
278,2,411.3233557,06/04/2021,07/04/2021,Product 1,Status 4,Type 1
279,1,277.5276933,13/03/2021,13/03/2021,Product 2,Status 3,Type 1
280,1,570.2092051,06/09/2025,04/03/2020,Product 1,Status 1,Type 2
281,3,419.9452818,01/09/2026,23/03/2020,Product 3,Status 2,Type 2
282,2,362.5790646,18/12/2020,22/12/2020,Product 2,Status 4,Type 1
283,1,579.2171015,10/10/2020,16/10/2020,Product 2,Status 3,Type 1
284,1,344.9213489,28/04/2021,03/05/2021,Product 2,Status 1,Type 1
285,1,328.6855353,20/06/2021,19/06/2021,Product 1,Status 4,Type 1
286,1,153.8182743,02/10/2021,14/08/2021,Product 4,Status 3,Type 3
287,1,119.9487473,03/02/2022,12/11/2021,Product 2,Status 3,Type 3
288,2,243.7442206,17/02/2021,22/02/2021,Product 1,Status 3,Type 1
289,1,108.3390832,19/02/2022,08/12/2021,Product 2,Status 2,Type 3
290,1,262.0219455,19/04/2020,20/04/2020,Product 1,Status 3,Type 1
291,2,413.8646062,03/06/2025,09/01/2021,Product 1,Status 2,Type 2
292,2,507.3832544,09/12/2020,15/12/2020,Product 1,Status 3,Type 1
293,2,-26.84943314,12/08/2021,17/08/2021,Product 1,Status 1,Type 1
294,1,443.4134102,06/02/2026,11/04/2020,Product 3,Status 2,Type 2
295,2,437.223091,20/01/2026,11/04/2021,Product 1,Status 1,Type 2
296,1,14.70353082,08/10/2020,08/10/2020,Product 2,Status 2,Type 1
297,2,494.3602186,24/08/2025,09/06/2021,Product 3,Status 4,Type 2
298,2,116.4285484,29/10/2021,06/07/2021,Product 4,Status 4,Type 3
299,2,127.4181069,11/12/2021,15/12/2021,Product 2,Status 4,Type 1
300,3,246.4971383,21/04/2020,24/04/2020,Product 1,Status 4,Type 1
301,1,490.5672867,30/11/2020,02/12/2020,Product 1,Status 3,Type 1
302,4,360.9063234,21/09/2020,21/09/2020,Product 1,Status 2,Type 1
303,4,348.1950136,27/12/2020,02/01/2021,Product 1,Status 1,Type 1
304,1,115.3529258,31/10/2021,01/08/2021,Product 4,Status 1,Type 3
305,1,420.4585264,12/02/2025,27/11/2021,Product 3,Status 4,Type 2
306,1,401.1895498,27/10/2026,23/09/2020,Product 2,Status 4,Type 2
307,1,488.303057,26/09/2025,18/07/2020,Product 2,Status 3,Type 2
308,1,378.1864384,17/09/2025,08/03/2020,Product 3,Status 4,Type 2
309,1,471.3771633,03/06/2026,04/05/2021,Product 1,Status 3,Type 2
310,1,163.4890181,04/12/2021,07/09/2021,Product 4,Status 4,Type 3
311,1,96.63619629,08/11/2021,08/08/2021,Product 4,Status 3,Type 3
312,2,582.7916073,09/10/2026,28/06/2020,Product 2,Status 4,Type 2
313,1,438.1247221,28/03/2021,02/04/2021,Product 1,Status 3,Type 1
314,1,553.1190325,30/10/2021,30/10/2021,Product 2,Status 3,Type 1
315,1,450.9617633,11/08/2026,10/05/2020,Product 3,Status 3,Type 2
316,2,454.53171,03/11/2025,27/09/2020,Product 3,Status 3,Type 2
317,1,79.81747221,12/12/2021,18/09/2021,Product 4,Status 4,Type 3
318,2,280.5091862,17/01/2021,19/01/2021,Product 2,Status 1,Type 1
319,1,479.0976479,19/12/2026,07/05/2021,Product 2,Status 4,Type 2
320,1,126.6981786,17/02/2022,03/12/2021,Product 4,Status 1,Type 3
321,1,135.7731561,10/12/2021,13/12/2021,Product 2,Status 3,Type 1
322,2,314.5644099,11/11/2021,12/11/2021,Product 2,Status 1,Type 1
323,1,165.8073757,14/02/2020,17/02/2020,Product 2,Status 4,Type 1
324,1,427.1005444,08/01/2021,10/01/2021,Product 1,Status 1,Type 1
325,1,338.0086843,20/01/2021,24/01/2021,Product 1,Status 3,Type 1
326,2,82.74791553,19/12/2021,06/10/2021,Product 4,Status 1,Type 3
327,4,152.5845408,31/01/2020,01/02/2020,Product 2,Status 3,Type 1
328,1,86.72484387,22/02/2022,14/10/2021,Product 4,Status 1,Type 3
329,1,816.9866727,10/01/2020,14/01/2020,Product 1,Status 1,Type 1
330,1,92.91185013,01/02/2022,29/10/2021,Product 4,Status 3,Type 3
331,2,213.6276604,11/07/2021,12/07/2021,Product 1,Status 1,Type 1
332,2,441.2504459,28/01/2021,01/02/2021,Product 2,Status 2,Type 1
333,1,114.9299835,23/02/2022,30/11/2021,Product 4,Status 1,Type 3
334,2,503.0439391,13/05/2020,18/05/2020,Product 1,Status 2,Type 1
335,1,394.6592248,03/02/2026,17/12/2020,Product 3,Status 2,Type 2
336,1,161.9249327,20/01/2022,24/01/2022,Product 2,Status 2,Type 1
337,2,205.9195337,31/12/2020,04/01/2021,Product 1,Status 3,Type 1
338,3,342.810643,15/01/2022,18/01/2022,Product 2,Status 2,Type 1
339,1,127.0173232,27/12/2021,03/10/2021,Product 4,Status 4,Type 3
340,1,148.2084193,31/03/2020,04/04/2020,Product 2,Status 1,Type 1
341,2,443.1953899,11/06/2026,22/07/2020,Product 3,Status 1,Type 2
342,1,449.9423127,27/03/2026,28/12/2021,Product 2,Status 3,Type 2
343,3,539.1875648,13/02/2021,15/02/2021,Product 1,Status 2,Type 1
344,1,528.3294283,29/07/2026,24/06/2021,Product 1,Status 2,Type 2
345,3,723.5930368,05/04/2021,10/04/2021,Product 1,Status 1,Type 1
346,2,367.2435901,25/01/2020,30/01/2020,Product 2,Status 2,Type 1
347,3,406.0988747,25/12/2026,01/09/2020,Product 1,Status 4,Type 2
348,2,487.1368956,30/03/2026,05/12/2021,Product 3,Status 1,Type 2
349,2,305.3975597,28/06/2020,29/06/2020,Product 1,Status 1,Type 1
350,2,643.1257335,16/10/2021,16/10/2021,Product 2,Status 3,Type 1
351,1,307.0047801,04/02/2021,06/02/2021,Product 1,Status 1,Type 1
352,1,541.074471,26/09/2026,21/06/2020,Product 3,Status 2,Type 2
353,1,55.71648187,27/11/2021,03/12/2021,Product 1,Status 1,Type 1
354,1,421.5491542,16/04/2021,17/04/2021,Product 1,Status 2,Type 1
355,1,243.5943855,17/09/2021,20/09/2021,Product 2,Status 4,Type 1
356,1,494.986435,10/08/2025,03/06/2021,Product 3,Status 2,Type 2
